timestamp,tower_code,signal_pct,load_pct,latency_ms,status,energy_source,batt_pct,diesel_pct,solar_kw,grid_up,fuel_litres,gen_runtime_hrs,uptime_pct,cost_ngn
2026-05-05T18:08:45.259653Z,TWR-LAG-IKJ-004,41,66,104,healthy,battery,60,56,7.6,False,564,439,96,6884
2026-05-05T18:03:45.259653Z,TWR-LAG-SUR-009,30,79,217,degraded,solar,51,66,6.0,True,412,321,83,49795
2026-05-05T17:58:45.259653Z,TWR-LAG-IKJ-029,57,93,174,grid_outage,diesel,71,39,5.8,True,165,268,89,22427
2026-05-05T17:53:45.259653Z,TWR-LAG-VIC-021,77,55,181,recovering,battery,18,71,8.9,True,421,727,96,30511
2026-05-05T17:48:45.259653Z,TWR-LAG-VIC-038,96,61,216,degraded,diesel,27,98,13.9,True,73,416,87,17170
2026-05-05T17:43:45.259653Z,TWR-LAG-LEK-050,61,29,61,degraded,solar,49,43,14.0,False,181,376,73,30492
2026-05-05T17:38:45.259653Z,TWR-LAG-YAB-032,63,59,158,recovering,solar,59,72,4.0,True,465,466,72,44482
2026-05-05T17:33:45.259653Z,TWR-LAG-IKE-043,89,96,194,recovering,diesel,75,5,2.2,True,162,686,89,9202
2026-05-05T17:28:45.259653Z,TWR-LAG-EPE-019,31,73,346,grid_outage,solar,37,81,7.2,False,432,19,60,35575
2026-05-05T17:23:45.259653Z,TWR-LAG-SUR-022,82,76,233,healthy,battery,70,82,1.2,True,430,170,88,5495
2026-05-05T17:18:45.259653Z,TWR-LAG-EPE-042,52,63,166,recovering,grid,23,98,11.4,False,417,398,72,34705
2026-05-05T17:13:45.259653Z,TWR-LAG-YAB-014,91,89,204,backhaul_degraded,solar,57,37,0.7,True,432,756,78,43600
2026-05-05T17:08:45.259653Z,TWR-LAG-IKJ-006,55,69,396,grid_outage,grid,82,75,10.2,False,161,58,61,48160
2026-05-05T17:03:45.259653Z,TWR-LAG-YAB-009,44,78,371,recovering,solar,13,78,7.6,False,482,123,68,12735
